SNP_id	-log10(p-val)
72664332,4970836	23.1439840983697
72664332,2378584	13.4187033632613
72664332,4299376	16.1249062228283
72664332,10176176	12.5373334740631
72664332,77385322	16.9043993461854
72664332,9349379	21.9984701473805
72664332,55730499	57.9103184371377
72664332,7859727	64.6735768972754
72664332,2019090	14.6993490511914
72664332,11170820	15.2102355798002
72664332,10774625	17.0058436623796
72664332,11539637	14.9361354913005
72664332,2233669	14.915197695017
72664332,12151108	14.5338956259393
72664332,4803455	17.9117982731504
72664332,7412	18.2057052475231
72664332,28451064	13.1953125176734
4970836,2378584	21.7926493424191
4970836,4299376	19.5980635050819
4970836,10176176	20.0931912416602
4970836,77385322	19.6477679546055
4970836,9349379	29.7696371597846
4970836,55730499	64.6644456272539
4970836,7859727	80.2909912200823
4970836,2019090	25.0709161981597
4970836,11170820	22.6754970519845
4970836,10774625	26.2984169109309
4970836,11539637	26.0300770855419
4970836,2233669	19.8792525041759
4970836,12151108	19.8441769796252
4970836,4803455	21.4874994378433
4970836,7412	23.165297225173
4970836,28451064	20.8540817222
2378584,4299376	14.4759864992331
2378584,10176176	13.8360335607268
2378584,77385322	18.0127450360075
2378584,9349379	23.1517867171977
2378584,55730499	61.1951653832253
2378584,7859727	70.7634407172283
2378584,2019090	16.7263324698711
2378584,11170820	16.679728686143
2378584,10774625	20.244310280023
2378584,11539637	14.7700071170856
2378584,2233669	18.8583052777059
2378584,12151108	17.4507397710677
2378584,4803455	18.2355009324301
2378584,7412	24.227174744821
2378584,28451064	17.3451571235962
4299376,10176176	13.2044669249764
4299376,77385322	13.8971808706606
4299376,9349379	19.923171584198
4299376,55730499	59.7995250957966
4299376,7859727	63.7790753104472
4299376,2019090	13.4498732711533
4299376,11170820	13.2569611638931
4299376,10774625	17.8471074936068
4299376,11539637	15.3726861407545
4299376,2233669	15.4246316370551
4299376,12151108	14.4446540122285
4299376,4803455	16.5089716398176
4299376,7412	15.9988709074043
4299376,28451064	15.4597101556119
10176176,77385322	16.6872958088367
10176176,9349379	21.6123489808571
10176176,55730499	52.3617073300583
10176176,7859727	64.3228325399893
10176176,2019090	14.6394739262613
10176176,11170820	15.8887703836288
10176176,10774625	14.7983109657219
10176176,11539637	17.0197610296153
10176176,2233669	17.7569326519404
10176176,12151108	14.3390680709595
10176176,4803455	16.5382803650263
10176176,7412	17.6842666956924
10176176,28451064	15.8624893405287
77385322,9349379	23.1392061932391
77385322,55730499	62.0111114693818
77385322,7859727	61.6806836642748
77385322,2019090	14.4006437930644
77385322,11170820	15.4491452394877
77385322,10774625	16.8615153075685
77385322,11539637	17.2799457255361
77385322,2233669	12.4853264254938
77385322,12151108	14.2136698476774
77385322,4803455	15.3583066096486
77385322,7412	18.269322638059
77385322,28451064	15.4308650087278
9349379,55730499	58.3097145404784
9349379,7859727	71.8865995595478
9349379,2019090	22.3528137298139
9349379,11170820	24.7217167960631
9349379,10774625	24.0261690283277
9349379,11539637	22.083351605967
9349379,2233669	25.1342371500805
9349379,12151108	21.0540642484126
9349379,4803455	24.1443896076687
9349379,7412	25.2436187166913
9349379,28451064	25.0650541917414
55730499,7859727	127.739031306699
55730499,2019090	60.5384098504971
55730499,11170820	65.8703810390683
55730499,10774625	56.626497541277
55730499,11539637	67.1210994985124
55730499,2233669	63.8508348254757
55730499,12151108	59.9151296796144
55730499,4803455	61.8191075783367
55730499,7412	71.5338559890634
55730499,28451064	60.0455434758734
7859727,2019090	72.4223827195909
7859727,11170820	74.476327728633
7859727,10774625	70.9846510258705
7859727,11539637	66.1766924738542
7859727,2233669	66.2827706519393
7859727,12151108	67.5532132967198
7859727,4803455	68.9760793993246
7859727,7412	69.6571697563054
7859727,28451064	64.5439558435245
2019090,11170820	11.3779350625552
2019090,10774625	13.6018975113222
2019090,11539637	15.1758326436075
2019090,2233669	17.6956134436622
2019090,12151108	15.55877894236
2019090,4803455	15.8180856897169
2019090,7412	19.3688223573371
2019090,28451064	14.6034631015545
11170820,10774625	15.6355121353226
11170820,11539637	17.0532175377866
11170820,2233669	15.5278227412516
11170820,12151108	12.2320710991222
11170820,4803455	15.7161703335189
11170820,7412	17.5334743411345
11170820,28451064	16.9374383960481
10774625,11539637	16.9545908853103
10774625,2233669	16.4872664859059
10774625,12151108	16.9739283432624
10774625,4803455	15.7916433198994
10774625,7412	24.7346543229908
10774625,28451064	17.6363293981416
11539637,2233669	15.7024136480885
11539637,12151108	16.8569707508225
11539637,4803455	17.6572112613065
11539637,7412	22.3686263874306
11539637,28451064	16.8841868533901
2233669,12151108	15.364975216208
2233669,4803455	15.9761490084771
2233669,7412	16.4050072425558
2233669,28451064	13.2153753722725
12151108,4803455	16.4380642623406
12151108,7412	15.1934724796613
12151108,28451064	14.0633286677411
4803455,7412	23.0095674103094
4803455,28451064	16.924233849488
7412,28451064	18.7108070391043
