72664332	1	-0.0861	0.17645	0.13057	-0.12873	0.17868	-0.04165	-0.03144	-0.06992	0.06174	0.08522	0.01695	-0.11199	0.05705	0.01108	0.06962	0.02695	-0.15702
4970836	-0.0861	1	0.05564	-0.089	-0.06691	-0.07882	-0.00906	-0.03043	0.08897	0.17066	0.07282	0.09177	0.08769	-0.0747	0.10951	-0.11386	0.11791	-0.08031
2378584	0.17645	0.05564	1	-0.08759	-0.1478	0.13472	-0.06362	0.00975	0.03728	0.07338	0.06335	0.08937	-0.23936	0.16391	-0.05972	-0.00869	-0.15929	0.02139
4299376	0.13057	-0.089	-0.08759	1	0.06929	-0.00327	0.16189	-0.0197	0.09843	0.02305	0.04714	-0.06563	0.07784	-0.09026	-0.01512	0.00842	-0.17333	-0.01512
10176176	-0.12873	-0.06691	-0.1478	0.06929	1	-0.162	0.06704	0.29317	0.0835	-0.05106	-0.11798	0.13884	-0.01988	-0.20229	-0.03182	0.01469	-0.06413	-0.03182
77385322	0.17868	-0.07882	0.13472	-0.00327	-0.162	1	-0.02194	-0.07368	0.18361	-0.0539	-0.1102	-0.01852	-0.05055	0.11304	-0.0221	0.0763	-0.01381	-0.0221
9349379	-0.04165	-0.00906	-0.06362	0.16189	0.06704	-0.02194	1	0.21177	0.07338	0.01107	-0.08767	0.06381	0.15542	-0.09696	-0.12521	0.0566	-0.08934	-0.04264
55730499	-0.03144	-0.03043	0.00975	-0.0197	0.29317	-0.07368	0.21177	1	-0.1211	-0.04335	-0.14625	0.13723	-0.10673	-0.10607	0.00533	-0.00297	0.13333	0.00533
7859727	-0.06992	0.08897	0.03728	0.09843	0.0835	0.18361	0.07338	-0.1211	1	-0.11221	-0.14339	-0.02157	0.08477	0.0244	-0.00769	0.01894	-0.0443	0.10285
2019090	0.06174	0.17066	0.07338	0.02305	-0.05106	-0.0539	0.01107	-0.04335	-0.11221	1	0.20008	0.21553	0.07705	-0.21987	0.07231	0.03862	0.05057	0.02724
11170820	0.08522	0.07282	0.06335	0.04714	-0.11798	-0.1102	-0.08767	-0.14625	-0.14339	0.20008	1	0.06165	-0.03597	-0.10309	-0.19049	0.0533	-0.05983	-0.10755
10774625	0.01695	0.09177	0.08937	-0.06563	0.13884	-0.01852	0.06381	0.13723	-0.02157	0.21553	0.06165	1	0.13564	0.01517	-0.02319	0.22518	0.13723	0.01663
11539637	-0.11199	0.08769	-0.23936	0.07784	-0.01988	-0.05055	0.15542	-0.10673	0.08477	0.07705	-0.03597	0.13564	1	0.05775	-0.02216	0.08802	0.05184	0.05393
2233669	0.05705	-0.0747	0.16391	-0.09026	-0.20229	0.11304	-0.09696	-0.10607	0.0244	-0.21987	-0.10309	0.01517	0.05775	1	0.0428	0.04536	-0.14547	0.15623
12151108	0.01108	0.10951	-0.05972	-0.01512	-0.03182	-0.0221	-0.12521	0.00533	-0.00769	0.07231	-0.19049	-0.02319	-0.02216	0.0428	1	-0.05415	0.28258	-0.13085
4803455	0.06962	-0.11386	-0.00869	0.00842	0.01469	0.0763	0.0566	-0.00297	0.01894	0.03862	0.0533	0.22518	0.08802	0.04536	-0.05415	1	0.07424	0.057
7412	0.02695	0.11791	-0.15929	-0.17333	-0.06413	-0.01381	-0.08934	0.13333	-0.0443	0.05057	-0.05983	0.13723	0.05184	-0.14547	0.28258	0.07424	1	-0.06398
28451064	-0.15702	-0.08031	0.02139	-0.01512	-0.03182	-0.0221	-0.04264	0.00533	0.10285	0.02724	-0.10755	0.01663	0.05393	0.15623	-0.13085	0.057	-0.06398	1
